Source,poly_id,siteCode (Existing KBA siteCode),User_site_ID (Existing IBA SitRecIDs),Site_name_english,Country
"ANT, Beck",1,,49103,Antarctica Marine 22,Antarctica
Beck,2,,,,Antarctica
Beck,3,,,,Antarctica
Beck,4,,,,Antarctica
Beck,5,,,,High Seas
Beck,6,,,,Antarctica
Beck,7,,,,Argentina
Beck,8,,,,Antarctica
Beck,9,,,,South Georgia & the South Sandwich Islands
Beck,10,,,,Antarctica
"Beck, Cand",11,,30940,,High Seas
Cand,12,,30325,,High Seas
Cand,13,,30346,,High Seas
Cand,14,,30369,,High Seas
Cand,15,,30604,,High Seas
Cand,16,,30605,,High Seas
Cand,17,,30606,,High Seas
ANT-Existing-KBA,18,29423,,Rosenthal Islands,Antarctica
ANT,19,,47236,Ryder Bay Islands,Antarctica
ANT,20,,49082,Antarctica Marine 1,Antarctica
ANT,21,,49083,Antarctica Marine 2,Antarctica
ANT,22,,49084,Antarctica Marine 3,Antarctica
ANT,23,,49085,Antarctica Marine 4,Antarctica
ANT,24,,49086,Antarctica Marine 5,Antarctica
ANT,25,,49087,Antarctica Marine 6,Antarctica
ANT,26,,49088,Antarctica Marine 7,Antarctica
ANT,27,,49089,Antarctica Marine 8,Antarctica
ANT,28,,49090,Antarctica Marine 9,Antarctica
ANT,29,,49091,Antarctica Marine 10,Antarctica
ANT,30,,49092,Antarctica Marine 11,Antarctica
ANT,31,,49093,Antarctica Marine 12,Antarctica
ANT,32,,49094,Antarctica Marine 13,Antarctica
ANT,33,,49095,Antarctica Marine 14,Antarctica
ANT,34,,49096,Antarctica Marine 15,Antarctica
ANT,35,,49097,Antarctica Marine 16,Antarctica
ANT,36,,49098,Antarctica Marine 17,Antarctica
ANT,37,,49099,Antarctica Marine 18,Antarctica
ANT,38,,49100,Antarctica Marine 19,Antarctica
ANT,39,,49101,Antarctica Marine 20,Antarctica
ANT,40,,49102,Antarctica Marine 21,Antarctica
ANT,41,,49104,Antarctica Marine 23,Antarctica
ANT,42,,49105,Antarctica Marine 24,Antarctica
ANT,43,,49106,Antarctica Marine 25,Antarctica
ANT,44,,49136,Antarctica Marine 55,Antarctica
ANT,45,,49137,Antarctica Marine 56,Antarctica
ANT,46,,49138,Antarctica Marine 57,Antarctica
ANT,47,,49139,Antarctica Marine 58,Antarctica
ANT,48,,49140,Antarctica Marine 59,Antarctica
ANT,49,,49141,Antarctica Marine 60,Antarctica
ANT,50,,49142,Antarctica Marine 61,Antarctica
ANT,51,,49143,Antarctica Marine 62,Antarctica
ANT,52,,49144,Antarctica Marine 63,Antarctica
"ANT, ANT, ANT, ANT, ANT, Beck",53,,"49131, 49132, 49133, 49134, 49135","Antarctica Marine 50, Antarctica Marine 51, Antarctica Marine 52, Antarctica Marine 53, Antarctica Marine 54",Antarctica
"ANT, Beck",54,,49116,Antarctica Marine 35,Antarctica
Beck,55,,,,Antarctica
Beck,56,,,,Antarctica
Beck,57,,,,New Zealand
Beck,58,,,,Australia
Beck,59,,,,Heard Island and McDonald Islands (to Australia)
"Beck, Cand, Cand, Cand",60,,"30402, 30403, 30404",,High Seas
Beck,61,,,,French Southern Territories
Beck,62,,,,Antarctica
"Beck, Cand",63,,30379,,High Seas
"Beck, Cand, Cand",64,,"30400, 30401",,High Seas
Beck,65,,,,Antarctica
Beck,66,,,,Antarctica
Beck,67,,,,Antarctica
Beck,68,,,,Antarctica
Beck,69,,,,High Seas
Beck,70,,,,High Seas
Beck,71,,,,French Southern Territories
Beck,72,,,,Antarctica
Beck,73,,,,Antarctica
Beck,74,,,,Antarctica
Beck,75,,,,Antarctica
Beck,76,,,,Antarctica
Beck,77,,,,French Southern Territories
Beck,78,,,,Antarctica
Beck,79,,,,High Seas
Beck,80,,,,French Southern Territories
Cand,81,,30417,,High Seas
Cand,82,,30418,,High Seas
Cand,83,,30420,,High Seas
Cand,84,,30421,,High Seas
Cand,85,,30444,,High Seas
Cand,86,,30450,,High Seas
Cand,87,,30452,,High Seas
Cand,88,,30453,,High Seas
Cand,89,,30457,,High Seas
Cand,90,,30475,,High Seas
Cand,91,,30738,,High Seas
Cand,92,,30739,,High Seas
Cand,93,,30746,,High Seas
Cand,94,,30803,,High Seas
Cand,95,,30982,,High Seas
ANT,96,,49107,Antarctica Marine 26,Antarctica
ANT,97,,49108,Antarctica Marine 27,Antarctica
ANT,98,,49109,Antarctica Marine 28,Antarctica
ANT,99,,49113,Antarctica Marine 32,Antarctica
ANT,100,,49114,Antarctica Marine 33,Antarctica
ANT,101,,49115,Antarctica Marine 34,Antarctica
ANT,102,,49117,Antarctica Marine 36,Antarctica
ANT,103,,49118,Antarctica Marine 37,Antarctica
ANT,104,,49119,Antarctica Marine 38,Antarctica
ANT,105,,49120,Antarctica Marine 39,Antarctica
ANT,106,,49121,Antarctica Marine 40,Antarctica
ANT,107,,49123,Antarctica Marine 42,Antarctica
ANT,108,,49124,Antarctica Marine 43,Antarctica
ANT,109,,49125,Antarctica Marine 44,Antarctica
ANT,110,,49126,Antarctica Marine 45,Antarctica
ANT,111,,49127,Antarctica Marine 46,Antarctica
ANT,112,,49128,Antarctica Marine 47,Antarctica
ANT,113,,49129,Antarctica Marine 48,Antarctica
ANT,114,,49130,Antarctica Marine 49,Antarctica
"Beck, WIO",115,,9999991,,French Southern Territories
"Beck, WIO",116,,9999992,,French Southern Territories
WIO,117,,9999993,,France
"Beck, WIO",118,,9999994,,South Africa
"ANT, Beck",119,,49112,Antarctica Marine 31,Antarctica
"ANT, Beck",120,,49111,Antarctica Marine 30,Antarctica
"ANT, Beck",121,,49110,Antarctica Marine 29,Antarctica
"ANT, Beck",122,,49122,Antarctica Marine 41,Antarctica
Beck,123,,,,High Seas
Beck,124,,,,Heard Island and McDonald Islands (to Australia)
Cand,125,,30955,,High Seas
Cand,126,,30552,,High Seas
Cand,127,,30553,,High Seas
Cand,128,,30645,,High Seas
Cand,129,,30648,,High Seas
Cand,130,,30649,,High Seas
Beck,131,,,,Antarctica
Beck,132,,,,High Seas
Cand,133,,30324,,High Seas
Cand,134,,30549,,High Seas
Cand,135,,30550,,High Seas
Cand,136,,30551,,High Seas
Existing-KBA-New-species,137,,47228,,South Georgia & the South Sandwich Islands
Existing-KBA-species,138,,30380,,High Seas
Existing-KBA-species,139,,44651,,New Zealand
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
