Source,poly_id,ScientificName,CommonName,Season-WDKBA,Max_Year_SiteEsts,Best_Site_MI
ANT,1,Aptenodytes forsteri,Emperor Penguin,breeding,2009,25159
Beck,1,Leptonychotes weddellii,Weddell seal,breeding,2020,12597
Beck,2,Leptonychotes weddellii,Weddell seal,breeding,2020,8398
Beck,3,Lobodon carcinophagus,Crabeater seal,breeding,2020,411370
Beck,4,Lobodon carcinophagus,Crabeater seal,breeding,2020,151557
Beck,5,Mirounga leonina,Southern elephant seal,non-breeding,2020,7063
Beck,6,Mirounga leonina,Southern elephant seal,non-breeding,2020,41885
Beck,7,Arctocephalus gazella,Antarctic fur seal,non-breeding,2020,12184
Beck,8,Mirounga leonina,Southern elephant seal,non-breeding,2020,27923
Beck,9,Arctocephalus gazella,Antarctic fur seal,non-breeding,2020,12184
Beck,10,Arctocephalus gazella,Antarctic fur seal,non-breeding,2020,12184
Beck,11,Mirounga leonina,Southern elephant seal,non-breeding,2020,27923
Cand,11,Phoebetria fusca,Sooty Albatross,breeding,2004,2527
Cand,12,Pterodroma axillaris,Chatham Petrel,non-breeding,2009,101
Cand,13,Procellaria cinerea,Grey Petrel,non-breeding,2009,39630
Cand,14,Diomedea dabbenena,Tristan Albatross,breeding,2001,413
Cand,15,Procellaria conspicillata,Spectacled Petrel,breeding,2010,2875
Cand,16,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,breeding,2004,4452
Cand,16,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,non-breeding,2004,2998
Cand,16,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,breeding,2004,4139
Cand,17,Phoebetria fusca,Sooty Albatross,breeding,2007,981
ANT-Existing-KBA,18,Pygoscelis papua,Gentoo Penguin,breeding,2013,14648
ANT,19,Catharacta maccormicki,South Polar Skua,breeding,2018,1956
ANT,20,Pygoscelis adeliae,Adelie Penguin,breeding,2013,118013
ANT,21,Pygoscelis papua,Gentoo Penguin,breeding,2019,11784
ANT,22,Pygoscelis papua,Gentoo Penguin,breeding,2019,13434
ANT,23,Pygoscelis papua,Gentoo Penguin,breeding,2019,24140
ANT,24,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2018,326237
ANT,25,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2019,174735
ANT,26,Pygoscelis papua,Gentoo Penguin,breeding,2018,9793
ANT,27,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2019,339040
ANT,28,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2019,335027
ANT,28,Pygoscelis papua,Gentoo Penguin,breeding,2018,15174
ANT,29,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2019,352737
ANT,30,Pygoscelis papua,Gentoo Penguin,breeding,2013,18545
ANT,31,Pygoscelis papua,Gentoo Penguin,breeding,2013,13369
ANT,32,Pygoscelis adeliae,Adelie Penguin,breeding,2018,627554
ANT,33,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2020,182117
ANT,34,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2020,79263
ANT,35,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2020,77244
ANT,36,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2015,501335
ANT,37,Pygoscelis adeliae,Adelie Penguin,breeding,2012,170714
ANT,37,Pygoscelis antarcticus,Chinstrap Penguin,breeding,2013,164078
ANT,38,Aptenodytes forsteri,Emperor Penguin,breeding,2009,6597
ANT,39,Aptenodytes forsteri,Emperor Penguin,breeding,2009,10842
ANT,40,Aptenodytes forsteri,Emperor Penguin,breeding,2009,9090
ANT,41,Aptenodytes forsteri,Emperor Penguin,breeding,2009,8034
ANT,42,Aptenodytes forsteri,Emperor Penguin,breeding,2009,6592
ANT,43,Aptenodytes forsteri,Emperor Penguin,breeding,2009,12223
ANT,44,Aptenodytes forsteri,Emperor Penguin,breeding,2012,28921
ANT,45,Aptenodytes forsteri,Emperor Penguin,breeding,2009,12043
ANT,46,Aptenodytes forsteri,Emperor Penguin,breeding,2009,8299
ANT,47,Aptenodytes forsteri,Emperor Penguin,breeding,2009,5557
ANT,47,Pygoscelis adeliae,Adelie Penguin,breeding,2012,133063
ANT,48,Pygoscelis adeliae,Adelie Penguin,breeding,2012,126723
ANT,49,Aptenodytes forsteri,Emperor Penguin,breeding,2009,7536
ANT,49,Pygoscelis adeliae,Adelie Penguin,breeding,2011,91166
ANT,50,Pygoscelis adeliae,Adelie Penguin,breeding,2011,96184
ANT,51,Aptenodytes forsteri,Emperor Penguin,breeding,2009,6139
ANT,52,Aptenodytes forsteri,Emperor Penguin,breeding,2009,8627
ANT,53,Aptenodytes forsteri,Emperor Penguin,breeding,2012,8614
ANT,53,Aptenodytes forsteri,Emperor Penguin,breeding,2012,10675
ANT,53,Aptenodytes forsteri,Emperor Penguin,breeding,2012,34024
Beck,53,Leptonychotes weddellii,Weddell seal,breeding,2020,38794
Beck,53,Leptonychotes weddellii,Weddell seal,breeding,2020,4273
ANT,53,Pygoscelis adeliae,Adelie Penguin,breeding,2013,362556
ANT,53,Pygoscelis adeliae,Adelie Penguin,breeding,2013,217428
ANT,53,Pygoscelis adeliae,Adelie Penguin,breeding,2013,158091
Beck,53,Pygoscelis adeliae,Adelie penguin,breeding,2020,298393
Beck,54,Aptenodytes forsteri,Emperor penguin,non-breeding,2020,6666
Beck,54,Leptonychotes weddellii,Weddell seal,breeding,2020,12100
ANT,54,Pygoscelis adeliae,Adelie Penguin,breeding,2012,257879
Beck,55,Leptonychotes weddellii,Weddell seal,breeding,2020,3025
Beck,56,Thalassoica antarctica,Antarctic petrel,breeding,2020,78548
Beck,57,Thalassarche chrysostoma,Grey-headed albatross,breeding,2020,7999
Beck,58,Aptenodytes patagonicus,King penguin,breeding,2020,94305
Beck,58,Eudyptes schlegeli,Royal penguin,breeding,2020,1197404
Beck,59,Eudyptes chrysolophus,Macaroni penguin,breeding,2020,31449
Beck,59,Mirounga leonina,Southern elephant seal,breeding,2020,16332
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,4
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,3
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,60,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,60,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,236
Cand,60,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,311
Cand,60,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,311
Cand,60,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,200
Cand,60,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,466
Cand,60,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,466
Beck,60,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Cand,60,Phoebetria fusca,Sooty Albatross,non-breeding,2016,888
Cand,60,Phoebetria fusca,Sooty Albatross,breeding,2016,780
Cand,60,Pterodroma baraui,Barau's Petrel,breeding,2009,813
Beck,61,Phoebetria fusca,Sooty albatross,non-breeding,2020,1027
Beck,62,Phoebetria fusca,Sooty albatross,non-breeding,2020,1027
Cand,63,Diomedea exulans,Snowy Albatross,immature (non-breeding),2003,399
Cand,63,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,532
Beck,63,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Cand,63,Phoebetria fusca,Sooty Albatross,non-breeding,2016,1088
Beck,63,Procellaria aequinoctialis,White-chinned petrel,breeding,2020,13255
Cand,64,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,4
Cand,64,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,64,Diomedea amsterdamensis,Amsterdam Albatross,non-breeding,2016,18
Cand,64,Diomedea exulans,Snowy Albatross,immature (non-breeding),2016,236
Cand,64,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,200
Cand,64,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,399
Beck,64,Phoebetria fusca,Sooty albatross,non-breeding,2020,1233
Cand,64,Phoebetria fusca,Sooty Albatross,juvenile (non-breeding),2016,188
Cand,64,Phoebetria fusca,Sooty Albatross,non-breeding,2016,988
Cand,64,Pterodroma baraui,Barau's Petrel,breeding,2009,813
Beck,65,Aptenodytes patagonicus,King penguin,breeding,2020,27506
Beck,66,Aptenodytes patagonicus,King penguin,breeding,2020,27506
Beck,67,Aptenodytes forsteri,Emperor penguin,non-breeding,2020,7898
Beck,68,Thalassarche chrysostoma,Grey-headed albatross,breeding,2020,4545
Beck,69,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Beck,70,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Beck,71,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Beck,72,Aptenodytes patagonicus,King penguin,breeding,2020,34383
Beck,73,Aptenodytes patagonicus,King penguin,breeding,2020,27506
Beck,74,Aptenodytes patagonicus,King penguin,breeding,2020,27506
Beck,75,Aptenodytes patagonicus,King penguin,breeding,2020,27506
Beck,76,Procellaria aequinoctialis,White-chinned petrel,breeding,2020,11645
Beck,77,Mirounga leonina,Southern elephant seal,non-breeding,2020,13363
Beck,78,Eudyptes schlegeli,Royal penguin,breeding,2020,359221
Beck,78,Thalassarche chrysostoma,Grey-headed albatross,breeding,2020,7999
Beck,78,Thalassarche chrysostoma,Grey-headed albatross,breeding,2020,2239
Beck,79,Thalassarche chrysostoma,Grey-headed albatross,breeding,2020,4444
Beck,80,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
Cand,81,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,4
Cand,81,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,307
Cand,81,Thalassarche carteri,Indian Yellow-nosed Albatross,breeding,2016,3250
Cand,82,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,4
Cand,82,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2001,399
Cand,83,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,307
Cand,83,Thalassarche carteri,Indian Yellow-nosed Albatross,breeding,2016,3250
Cand,84,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,5
Cand,84,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,307
Cand,85,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,5
Cand,85,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,2
Cand,85,Phoebetria fusca,Sooty Albatross,juvenile (non-breeding),2016,188
Cand,86,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,1
Cand,86,Phoebetria fusca,Sooty Albatross,juvenile (non-breeding),2016,360
Cand,87,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,4
Cand,87,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,2
Cand,87,Phoebetria fusca,Sooty Albatross,juvenile (non-breeding),2016,360
Cand,88,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,15
Cand,88,Phoebetria fusca,Sooty Albatross,juvenile (non-breeding),2016,188
Cand,89,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,235
Cand,89,Phoebetria fusca,Sooty Albatross,non-breeding,2016,432
Cand,90,Diomedea amsterdamensis,Amsterdam Albatross,juvenile (non-breeding),2016,11
Cand,90,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2016,15
Cand,91,Diomedea antipodensis,Antipodean Albatross,breeding,2000,1580
Cand,91,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,202
Cand,91,Pterodroma leucoptera,White-winged Petrel,breeding,2010,1214
Cand,92,Pterodroma leucoptera,White-winged Petrel,breeding,2010,1214
Cand,93,Pterodroma leucoptera,White-winged Petrel,breeding,2010,1000
Cand,94,Procellaria parkinsoni,Black Petrel,breeding,2005,697
Cand,95,Diomedea exulans,Snowy Albatross,juvenile (non-breeding),2016,202
Cand,95,Pterodroma leucoptera,White-winged Petrel,breeding,2010,1214
ANT,96,Aptenodytes forsteri,Emperor Penguin,breeding,2009,9438
ANT,97,Aptenodytes forsteri,Emperor Penguin,breeding,2009,7220
ANT,98,Aptenodytes forsteri,Emperor Penguin,breeding,2009,6099
ANT,99,Pygoscelis adeliae,Adelie Penguin,breeding,2011,92519
ANT,100,Aptenodytes forsteri,Emperor Penguin,breeding,2009,7633
ANT,101,Aptenodytes forsteri,Emperor Penguin,breeding,2009,9396
ANT,102,Aptenodytes forsteri,Emperor Penguin,breeding,2011,6152
ANT,103,Aptenodytes forsteri,Emperor Penguin,breeding,2009,19607
ANT,104,Aptenodytes forsteri,Emperor Penguin,breeding,2009,9085
ANT,105,Pygoscelis adeliae,Adelie Penguin,breeding,2011,136139
ANT,106,Aptenodytes forsteri,Emperor Penguin,breeding,2009,15162
ANT,107,Aptenodytes forsteri,Emperor Penguin,breeding,2019,8521
ANT,108,Aptenodytes forsteri,Emperor Penguin,breeding,2019,5726
ANT,109,Pygoscelis adeliae,Adelie Penguin,breeding,2013,476959
ANT,110,Pygoscelis adeliae,Adelie Penguin,breeding,2013,307569
ANT,111,Aptenodytes forsteri,Emperor Penguin,breeding,2012,8132
ANT,112,Aptenodytes forsteri,Emperor Penguin,breeding,2012,12074
ANT,112,Pygoscelis adeliae,Adelie Penguin,breeding,2013,286284
ANT,113,Pygoscelis adeliae,Adelie Penguin,breeding,2013,217071
ANT,114,Pygoscelis adeliae,Adelie Penguin,breeding,2013,189754
WIO,115,Diomedea amsterdamensis,Amsterdam Albatross,breeding,2012,18
WIO,115,Diomedea exulans,Snowy Albatross,non-breeding,2018,712
Beck,115,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
WIO,115,Phoebetria fusca,Sooty Albatross,non-breeding,2012,888
WIO,115,Thalassarche carteri,Indian Yellow-nosed Albatross,breeding,2018,44550
WIO,116,Diomedea exulans,Snowy Albatross,breeding,2018,5574
Beck,116,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
WIO,116,Phoebetria fusca,Sooty Albatross,breeding,2018,3913
WIO,116,Procellaria aequinoctialis,White-chinned petrel,breeding,2018,48271
WIO,117,Sula dactylatra,Masked Booby,breeding,2018,3478
WIO,117,Sula sula,Red-footed Booby,breeding,2018,3900
Beck,118,Aptenodytes patagonicus,King penguin,breeding,2020,48136
WIO,118,Diomedea exulans,Snowy Albatross,breeding,1997,1841
Beck,118,Eudyptes chrysolophus,Macaroni penguin,breeding,2020,161939
WIO,118,Macronectes giganteus,Southern Giant Petrel,non-breeding,2008,1150
WIO,118,Macronectes halli,Northern Giant Petrel,non-breeding,2008,286
Beck,118,Phoebetria fusca,Sooty albatross,breeding,2020,1406
Beck,118,Phoebetria fusca,Sooty albatross,non-breeding,2020,822
WIO,118,Phoebetria fusca,Sooty Albatross,breeding,2018,2204
WIO,118,Phoebetria palpebrata,Sooty Albatross,breeding,2018,576
Beck,118,Procellaria aequinoctialis,White-chinned petrel,breeding,2020,58223
Beck,118,Procellaria aequinoctialis,White-chinned petrel,breeding,2020,33136
WIO,118,Thalassarche carteri,Indian Yellow-nosed Albatross,breeding,2018,19101
Beck,118,Thalassarche chrysostoma,Grey-headed albatross,breeding,2020,10100
ANT,119,Aptenodytes forsteri,Emperor Penguin,breeding,2009,13565
Beck,119,Aptenodytes forsteri,Emperor penguin,non-breeding,2020,8424
ANT,120,Aptenodytes forsteri,Emperor Penguin,breeding,2009,12748
Beck,120,Aptenodytes forsteri,Emperor penguin,non-breeding,2020,7371
ANT,120,Pygoscelis adeliae,Adelie Penguin,breeding,2011,113105
Beck,121,Aptenodytes forsteri,Emperor penguin,non-breeding,2020,5265
ANT,121,Pygoscelis adeliae,Adelie Penguin,breeding,2011,124224
Beck,122,Leptonychotes weddellii,Weddell seal,breeding,2020,16878
ANT,122,Pygoscelis adeliae,Adelie Penguin,breeding,2012,186540
Beck,123,Aptenodytes patagonicus,King penguin,breeding,2020,94305
Beck,123,Eudyptes schlegeli,Royal penguin,breeding,2020,838183
Beck,124,Eudyptes chrysolophus,Macaroni penguin,breeding,2020,62899
Beck,124,Mirounga leonina,Southern elephant seal,non-breeding,2020,10393
Cand,125,Ardenna grisea,Sooty Shearwater,non-breeding,2008,95255
Cand,126,Ardenna pacifica,Wedge-tailed Shearwater,non-breeding,2009,14232
Cand,127,Phaethon lepturus,White-tailed Tropicbird,non-breeding,2009,367
Cand,128,Pterodroma solandri,Providence Petrel,non-breeding,2007,14934
